Timestamps,Signal
1,-0.0020732795862233927
2,-0.0020731939915099285
3,-0.0020731088370661644
4,-0.002073024202824609
5,-0.0020729393994453594
6,-0.0020728545526084844
7,-0.002072771202551234
8,-0.0020726893896467653
9,-0.0020726084554298623
10,-0.0020725287933303447
11,-0.002072449333208749
12,-0.002072370006302676
13,-0.002072291676455242
14,-0.002072214111037374
15,-0.0020721351855293186
16,-0.0020720547879233705
17,-0.0020719737544305774
18,-0.0020718915001127483
19,-0.002071809460620947
20,-0.0020717276797210444
21,-0.0020716449159535223
22,-0.00207156144262515
23,-0.0020714784795894652
24,-0.002071395961775216
25,-0.0020713134645027626
26,-0.0020712312619751766
27,-0.002071148274499692
28,-0.0020710644251130715
29,-0.0020709804593092907
30,-0.002070896119433823
31,-0.0020708131421540176
32,-0.0020707317650250157
33,-0.0020706509728518788
34,-0.0020705712723165562
35,-0.002070491820662572
36,-0.0020704125460475334
37,-0.0020703343219184607
38,-0.0020702569839222756
39,-0.002070178998826024
40,-0.0020701003569785575
41,-0.002070021696839512
42,-0.0020699426406290303
43,-0.0020698643214005076
44,-0.0020697868191147974
45,-0.002069709261297759
46,-0.0020696319044589797
47,-0.002069551267111753
48,-0.002069466895941151
49,-0.0020693806030997177
50,-0.0020692913509973137
51,-0.00206920092634923
52,-0.002069109409175767
53,-0.0020690149510911916
54,-0.002068917861341689
55,-0.0020688209596942905
56,-0.002068724197538661
57,-0.0020686263649298
58,-0.002068528115436089
59,-0.0020684272290898
60,-0.002068323508227432
61,-0.002068218556660725
62,-0.0020681118335789807
63,-0.002068005404443536
64,-0.0020678996145674757
65,-0.002067793070195604
66,-0.002067686379780923
67,-0.002067578672034565
68,-0.0020674698289022404
69,-0.002067360820185131
70,-0.002067251461763294
71,-0.002067139581677231
72,-0.0020670251181813034
73,-0.00206690899063306
74,-0.002066790640232222
75,-0.0020666715682228502
76,-0.002066551865683943
77,-0.0020664303113645424
78,-0.002066307227252375
79,-0.0020661856573253204
80,-0.002066065759885979
81,-0.0020659463248376016
82,-0.0020658281872722654
83,-0.0020657092870795643
84,-0.0020655895560547127
85,-0.002065470768896654
86,-0.002065352529446663
87,-0.002065233072345063
88,-0.0020651124850218387
89,-0.0020649913773602177
90,-0.002064869348178222
91,-0.0020647479469447718
92,-0.0020646272795793175
93,-0.0020645062664213644
94,-0.0020643852732856387
95,-0.002064261807983832
96,-0.002064135524400838
97,-0.0020640078726737923
98,-0.002063878121848535
99,-0.0020637474721606794
100,-0.0020636160214485585
101,-0.0020634825142588817
102,-0.0020633471804911174
103,-0.002063212213744515
104,-0.0020630776229790936
105,-0.00206294248703401
106,-0.002062807342599454
107,-0.002062670560314281
108,-0.002062532020367706
109,-0.002062392968567475
110,-0.0020622530320827683
111,-0.002062114201509718
112,-0.0020619768133367093
113,-0.0020618396646039363
114,-0.002061703365080012
115,-0.002061567061903855
116,-0.002061430692825402
117,-0.0020612952456717576
118,-0.002061160575239253
119,-0.0020610247807728837
120,-0.0020608878582652405
121,-0.0020607506576409435
122,-0.0020606127238097607
123,-0.002060475465760743
124,-0.0020603390073898825
125,-0.0020602022898505976
126,-0.0020600656494351726
127,-0.0020599281696232837
128,-0.002059789656318179
129,-0.0020596507958092194
130,-0.00205951130620715
131,-0.0020593714925255307
132,-0.0020592314091264
133,-0.0020590906521408083
134,-0.0020589492836635714
135,-0.00205880840692928
136,-0.0020586680600305635
137,-0.002058527751564601
138,-0.0020583877652494706
139,-0.002058247358405831
140,-0.002058106480200446
141,-0.002057965739364387
142,-0.002057824974118023
143,-0.002057682053510211
144,-0.002057536834484776
145,-0.002057390204568878
146,-0.0020572415678519656
147,-0.0020570922981567154
148,-0.0020569424396050307
149,-0.002056790768529213
150,-0.002056637542408276
151,-0.0020564840696942364
152,-0.002056330290419497
153,-0.0020561757230120785
154,-0.002056020662874477
155,-0.0020558639798944366
156,-0.002055705588272774
157,-0.002055546274205729
158,-0.002055385766009526
159,-0.002055225693917333
160,-0.002055066287547635
161,-0.0020549065695213047
162,-0.002054747015360997
163,-0.002054586848470083
164,-0.0020544259962960803
165,-0.002054265269663283
166,-0.002054104514507859
167,-0.002053942248244528
168,-0.002053778454690596
169,-0.0020536137514389923
170,-0.0020534477695287666
171,-0.0020532815901854622
172,-0.0020531152869064546
173,-0.0020529480173465567
174,-0.0020527800232859935
175,-0.002052614416194791
176,-0.0020524514211411574
177,-0.002052289754948733
178,-0.002052130298523914
179,-0.002051971068526908
180,-0.0020518120133396498
181,-0.002051654926228385
182,-0.002051499446065197
183,-0.0020513436490294137
184,-0.0020511876321951104
185,-0.0020510321251566766
186,-0.0020508767016803302
187,-0.002050723037873568
188,-0.0020505712724538648
189,-0.002050420256616985
190,-0.0020502704021659337
191,-0.002050119275670336
192,-0.0020499665453893733
193,-0.0020498136828503498
194,-0.0020496599861098566
195,-0.002049506635149811
196,-0.002049353748935788
197,-0.0020492001202465863
198,-0.0020490459916444044
199,-0.002048893592003027
200,-0.002048742955647617
201,-0.002048593170086983
202,-0.0020484447978555732
203,-0.0020482962303532476
204,-0.002048147368246693
205,-0.002047999483062949
206,-0.0020478522233146872
207,-0.0020477037068743044
208,-0.002047553891940158
209,-0.002047403417441303
210,-0.0020472517807544285
211,-0.0020471003795438014
212,-0.0020469492484575815
213,-0.0020467972430615964
214,-0.0020466446345716984
215,-0.002046492331836991
216,-0.002046340263400595
217,-0.0020461881594817082
218,-0.0020460362191792878
219,-0.002045883576341811
220,-0.0020457301763436592
221,-0.002045576599795201
222,-0.0020454226413038723
223,-0.0020452700630314473
224,-0.002045119089702828
225,-0.002044968734816781
226,-0.0020448195102524777
227,-0.002044670526422064
228,-0.002044521717092019
229,-0.0020443739851551523
230,-0.0020442271595800536
231,-0.0020440797648729513
232,-0.002043931802041487
233,-0.0020437838801260397
234,-0.0020436356402998746
235,-0.002043488195823683
236,-0.0020433416276618953
237,-0.002043195092061865
238,-0.002043048844377229
239,-0.0020429003266656384
240,-0.002042749188123986
241,-0.002042596812140961
242,-0.0020424424346774544
243,-0.002042287326746224
244,-0.002042131555647059
245,-0.002041973784876283
246,-0.002041814236921329
247,-0.0020416550653138224
248,-0.002041496246503742
249,-0.0020413368525210376
250,-0.002041177389224112
251,-0.0020410161913669523
252,-0.002040853114453656
253,-0.002040689378881224
254,-0.002040524583632117
255,-0.0020403601621673526
256,-0.0020401963692835397
257,-0.002040032222109485
258,-0.002039868148772171
259,-0.0020397035743098674
260,-0.002039538419509733
261,-0.0020393733508477364
262,-0.00203920825002929
263,-0.002039041574070714
264,-0.002038873280142729
265,-0.0020387040333390326
266,-0.0020385334390799906
267,-0.0020383625631415305
268,-0.0020381914749289963
269,-0.002038019311799548
270,-0.0020378463055946055
271,-0.0020376747461509017
272,-0.0020375047624097754
273,-0.002037335440281408
274,-0.002037167412719726
275,-0.0020369991500486227
276,-0.002036830605124665
277,-0.002036663110329251
278,-0.002036496375600568
279,-0.0020363290638326192
280,-0.002036161243841358
281,-0.002035993388141847
282,-0.002035825195902858
283,-0.0020356578433480188
284,-0.0020354914157910695
285,-0.002035325099675546
286,-0.002035159176287506
287,-0.002034991803707444
288,-0.002034822728300869
289,-0.0020346530334051914
290,-0.0020344821817209267
291,-0.002034311063357422
292,-0.002034139755959337
293,-0.0020339673356013924
294,-0.0020337939766353077
295,-0.002033621316874165
296,-0.002033449368532125
297,-0.0020332774496654273
298,-0.002033105964859101
299,-0.0020329337077488337
300,-0.002032760594026009
301,-0.002032587555365642
302,-0.0020324143195241773
303,-0.002032243384163491
304,-0.002032075108778146
305,-0.002031908130617406
306,-0.0020317432031018946
307,-0.0020315791177968855
308,-0.0020314158139813797
309,-0.0020312545913251682
310,-0.0020310952443809713
311,-0.002030935638528997
312,-0.0020307757989465
313,-0.002030616660249995
314,-0.0020304577242863425
315,-0.0020303006419306116
316,-0.0020301455625347997
317,-0.0020299912824412168
318,-0.002029838203480006
319,-0.002029684954497072
320,-0.002029531292495302
321,-0.002029378175407674
322,-0.0020292251967990622
323,-0.002029072906844222
324,-0.002028921388117947
325,-0.0020287700091649345
326,-0.002028618887841178
327,-0.0020284695288148615
328,-0.002028321980707441
329,-0.0020281756013790864
330,-0.0020280307802988846
331,-0.0020278864909049885
332,-0.0020277426716241095
333,-0.0020276001652487496
334,-0.002027458753134839
335,-0.0020273160921019245
336,-0.0020271720500323847
337,-0.0020270275796722475
338,-0.002026882035866593
339,-0.0020267369816233953
340,-0.002026592471264415
341,-0.002026447147751977
342,-0.002026301311500214
343,-0.0020261563566902076
344,-0.0020260122196934104
345,-0.0020258684110004035
346,-0.0020257252491509177
347,-0.002025581524161113
348,-0.0020254371528097056
349,-0.0020252929832061425
350,-0.00202514873015126
351,-0.0020250062709708835
352,-0.0020248658705086567
353,-0.0020247264296590376
354,-0.002024588500251228
355,-0.0020244511864881943
356,-0.0020243144145155626
357,-0.0020241791273635976
358,-0.002024045153880443
359,-0.00202391082808866
360,-0.0020237761422378774
361,-0.0020236417984748414
362,-0.002023507389080355
363,-0.0020233741489109483
364,-0.0020232421692974946
365,-0.0020231105053449415
366,-0.0020229794397957166
367,-0.002022847683898467
368,-0.00202271500519313
369,-0.002022582212810084
370,-0.002022448908662684
371,-0.0020223156134343855
372,-0.0020221823701363577
373,-0.0020220485516927256
374,-0.0020219142459506016
375,-0.0020217807371122067
376,-0.002021648033400584
377,-0.002021515554729731
378,-0.0020213836106424583
379,-0.0020212512624434983
380,-0.0020211184275815857
381,-0.0020209858178168857
382,-0.0020208532100441908
383,-0.002020721151529764
384,-0.0020205897673792163
385,-0.002020458631935941
386,-0.0020203279161124994
387,-0.0020201974561688935
388,-0.0020200672189861664
389,-0.0020199374395747398
390,-0.002019808085130126
391,-0.0020196784643973
392,-0.0020195485519671533
393,-0.002019418660339033
394,-0.002019288611618515
395,-0.0020191588668396826
396,-0.0020190294585592226
397,-0.0020189000075926185
398,-0.002018770614723443
399,-0.0020186427427722415
400,-0.00201851649483658
401,-0.002018391254944315
402,-0.0020182674337940842
403,-0.002018144098716901
404,-0.0020180212197640247
405,-0.002017899633900395
406,-0.00201777916725424
407,-0.0020176589096080346
408,-0.0020175389016950096
409,-0.002017419482629974
410,-0.002017300447021587
411,-0.002017182577821115
412,-0.0020170659355527214
413,-0.002016949975313364
414,-0.0020168348858884367
415,-0.002016719565346928
416,-0.002016603857746499
417,-0.00201648842817668
418,-0.002016372955490126
419,-0.0020162579628569227
420,-0.0020161435005076633
421,-0.0020160290220001607
422,-0.0020159146318360476
423,-0.002015801339700173
424,-0.0020156891580265512
425,-0.002015577666697644
426,-0.002015467117823063
427,-0.002015356777898766
428,-0.002015246597840602
429,-0.0020151371512671028
430,-0.0020150282749038517
431,-0.002014917464396955
432,-0.0020148045276259375
433,-0.002014690520339653
434,-0.0020145747310637207
435,-0.0020144587322571492
436,-0.0020143425675467398
437,-0.0020142248031136873
438,-0.0020141057249717783
439,-0.00201398692132607
440,-0.0020138683182590444
441,-0.002013749306377087
442,-0.0020136302398189206
443,-0.002013509750014747
444,-0.002013387723594037
445,-0.002013265104622675
446,-0.0020131415577001846
447,-0.0020130190038556177
448,-0.002012897709351095
449,-0.002012776505256487
450,-0.0020126559469826307
451,-0.002012535111756016
452,-0.0020124139054512797
453,-0.0020122932782526137
454,-0.0020121730407748144
455,-0.0020120514185679957
456,-0.0020119283833933696
457,-0.0020118046645259025
458,-0.0020116798140627297
459,-0.002011555110064152
460,-0.002011430632063384
461,-0.002011305369137323
462,-0.002011179600783812
463,-0.002011054894726622
464,-0.00201093129159732
465,-0.002010808250231265
466,-0.002010686191071652
467,-0.002010563962477322
468,-0.0020104415356457205
469,-0.0020103198598305054
470,-0.0020101987123466577
471,-0.00201007732066207
472,-0.002009955743418479
473,-0.002009834215702274
474,-0.0020097125680358903
475,-0.002009591530614807
476,-0.0020094711506350948
477,-0.0020093509375390733
478,-0.002009231064946151
479,-0.002009110086725813
480,-0.0020089878175006655
481,-0.0020088650710880004
482,-0.0020087414275348236
483,-0.00200861761472589
484,-0.002008493688010395
485,-0.0020083689079916076
486,-0.0020082434151549645
