Timestamps,Signal
1,-0.0031517608722749606
2,-0.003151770949630245
3,-0.00315178166870154
4,-0.0031517930442196635
5,-0.003151804560948087
6,-0.003151816525527284
7,-0.003151828043599387
8,-0.0031518390540264517
9,-0.003151850254857281
10,-0.0031518614461016298
11,-0.003151869041559572
12,-0.003151872751191875
13,-0.0031518741097606496
14,-0.0031518720938493124
15,-0.003151868923610809
16,-0.00315186466140084
17,-0.003151857263967737
18,-0.0031518471327584385
19,-0.0031518365837809263
20,-0.0031518255136389816
21,-0.003151813022306431
22,-0.0031517996268240907
23,-0.0031517833438579473
24,-0.0031517640067204307
25,-0.00315174298623605
26,-0.00315171979543017
27,-0.0031516971371764574
28,-0.003151675389119401
29,-0.0031516528940331153
30,-0.0031516304331115357
31,-0.0031516067146479575
32,-0.0031515816033553952
33,-0.0031515564315370112
34,-0.003151530932477266
35,-0.0031515025872092114
36,-0.0031514713521366734
37,-0.003151438262314636
38,-0.0031514026799862723
39,-0.003151366412171813
40,-0.0031513295697079753
41,-0.003151290718037845
42,-0.0031512502506719276
43,-0.0031512104683768857
44,-0.0031511714347735986
45,-0.003151132342432474
46,-0.0031510938085369347
47,-0.003151054152488788
48,-0.0031510133295540887
49,-0.0031509727274443636
50,-0.0031509320200726007
51,-0.0031508900528992236
52,-0.0031508469086296235
53,-0.003150802941592071
54,-0.003150757896307505
55,-0.0031507128526919274
56,-0.0031506678794715227
57,-0.0031506222458135688
58,-0.003150576207107809
59,-0.0031505276602056785
60,-0.0031504763322749278
61,-0.003150423407741484
62,-0.0031503682742344517
63,-0.0031503119841861374
64,-0.0031502546166296713
65,-0.003150195096783773
66,-0.0031501336263807353
67,-0.0031500719807995795
68,-0.0031500101597436206
69,-0.00314994742726712
70,-0.0031498842151403967
71,-0.003149819186513953
72,-0.0031497522434170365
73,-0.0031496843995888124
74,-0.003149615348059452
75,-0.0031495478764297868
76,-0.0031494823766425434
77,-0.0031494173198054237
78,-0.00314935354054284
79,-0.0031492896746839662
80,-0.003149225646641649
81,-0.0031491629041971174
82,-0.0031491012086845046
83,-0.00314903817602325
84,-0.00314897382766387
85,-0.0031489091949647246
86,-0.003148843716044439
87,-0.0031487792235368353
88,-0.0031487158761437277
89,-0.00314865232548054
90,-0.00314858901190759
91,-0.003148524404648322
92,-0.0031484582260506004
93,-0.0031483915340120173
94,-0.0031483238695827614
95,-0.0031482558357515764
96,-0.0031481875170481007
97,-0.0031481182050172927
98,-0.0031480480231154376
99,-0.003147978636625446
100,-0.0031479100923684873
101,-0.003147841669072613
102,-0.0031477737923828204
103,-0.003147705314115915
104,-0.0031476361585142535
105,-0.003147567255015121
106,-0.003147498353323791
107,-0.003147426902181277
108,-0.003147352753672492
109,-0.003147276931228191
110,-0.0031471987280883716
111,-0.0031471198396218546
112,-0.0031470403177561125
113,-0.003146958680321892
114,-0.0031468752478123474
115,-0.003146791519166177
116,-0.0031467074177504114
117,-0.003146622409968452
118,-0.00314653683273803
119,-0.003146449369616678
120,-0.0031463599239317077
121,-0.0031462694058849786
122,-0.0031461774999554906
123,-0.003146086243828703
124,-0.0031459959183735447
125,-0.0031459053211654467
126,-0.0031458150461624026
127,-0.0031457241095083233
128,-0.0031456324240440765
129,-0.003145541010479766
130,-0.0031454496752877244
131,-0.0031453566001497543
132,-0.003145261770068625
133,-0.003145165941304157
134,-0.0031450686637772315
135,-0.003144971274000832
136,-0.00314487386446832
137,-0.003144775400717563
138,-0.0031446761835247287
139,-0.003144582235817533
140,-0.003144494062931963
141,-0.0031444090647114527
142,-0.0031443289664128027
143,-0.00314425007600194
144,-0.0031441722907125597
145,-0.0031440990325971013
146,-0.0031440296381586618
147,-0.003143960170677643
148,-0.0031438908024916255
149,-0.0031438230784123873
150,-0.0031437561200418716
151,-0.0031436932875902267
152,-0.0031436348675604616
153,-0.003143578536988941
154,-0.003143525123095363
155,-0.0031434701271154932
156,-0.0031434129188164612
157,-0.0031433562714586606
158,-0.003143298886144941
159,-0.0031432429087500146
160,-0.0031431885689097833
161,-0.003143133654323512
162,-0.0031430786109184128
163,-0.003143027657128898
164,-0.003142980870983735
165,-0.0031429365214967796
166,-0.0031428956797741763
167,-0.003142855329542661
168,-0.0031428152888600715
169,-0.003142777960291688
170,-0.0031427426898656906
171,-0.0031427055010949
172,-0.003142666277807754
173,-0.0031426264363300913
174,-0.0031425849097663143
175,-0.0031425445880948373
176,-0.003142505552568646
177,-0.00314246541314701
178,-0.0031424247324028077
179,-0.0031423855391674873
180,-0.003142347695894055
181,-0.0031423105753300346
182,-0.0031422746299071083
183,-0.003142237979774331
184,-0.003142200507053384
185,-0.0031421634924539217
186,-0.0031421264936425178
187,-0.003142093118246792
188,-0.0031420638394460514
189,-0.003142036624496425
190,-0.003142012526475878
191,-0.0031419897498862585
192,-0.003141968161622411
193,-0.0031419496045738
194,-0.0031419337368992404
195,-0.003141917507770777
196,-0.003141900919440392
197,-0.0031418852419973146
198,-0.0031418697352578366
199,-0.0031418566988166176
200,-0.003141846303885827
201,-0.0031418368104643764
