Timestamps,Signal
1,0.021462617306570318
2,0.029784598831825295
3,0.037093361116031925
4,0.04187621478154906
5,0.04543057595259453
6,0.04349378255948175
7,0.04311144079962213
8,0.03359198589768631
9,0.02234359962183584
10,0.007904667725502176
11,-0.00994147211844408
12,-0.033448942862802644
13,-0.06595192873130822
14,-0.09391444999452975
15,-0.12596459475497845
16,-0.1699490770226668
17,-0.21185267958062776
18,-0.24945568994081296
19,-0.30038724683208895
20,-0.3427308615280136
21,-0.39108115413139566
22,-0.437464048098911
23,-0.48137106982965455
24,-0.5221069061061901
25,-0.5692151467727359
26,-0.6033944062607088
27,-0.6386472047011507
28,-0.6684570520872182
29,-0.7018305208847231
30,-0.7197451028428539
31,-0.7406557938641777
32,-0.7600888303499553
33,-0.7656522435714062
34,-0.7754712629594263
35,-0.7840809218366795
36,-0.7814531372127012
37,-0.7786040064416269
38,-0.7795501208098984
39,-0.7721026179076261
40,-0.7642180855595662
41,-0.7580900051186941
42,-0.7499001698228969
43,-0.7425788446407748
44,-0.7351690219219194
45,-0.7269104634448875
46,-0.7203720038742001
47,-0.720574763757063
48,-0.7148168545586433
49,-0.7143011832674561
50,-0.7111037587283671
51,-0.7164511118489523
52,-0.7215395421267314
53,-0.7232111962869083
54,-0.7313190786283672
55,-0.7356406096122936
56,-0.7463781737484851
57,-0.7582116088583633
58,-0.7640360705142217
59,-0.774528935655222
60,-0.7872188788398009
61,-0.7932391580732662
62,-0.8071543572529736
63,-0.8197907888340031
64,-0.8214497086912261
65,-0.8376047457550886
66,-0.8425112306154805
67,-0.8536428457796075
68,-0.8614254235217695
69,-0.867439811333262
70,-0.8781614772171118
71,-0.8846615331108637
72,-0.8912794795291832
73,-0.9024734783834772
74,-0.9092346736040902
75,-0.9150754803646965
76,-0.9332332542225317
77,-0.9368282707395038
78,-0.9472511726824485
79,-0.9635901325264582
80,-0.9734415428430796
81,-0.990295641735514
82,-1.0013642760856032
83,-1.0166359707711061
84,-1.0373231859124716
85,-1.0490974202428913
86,-1.066106284004539
87,-1.087758744434185
88,-1.1006969996790277
89,-1.11973005702431
90,-1.135947142635699
91,-1.1522723605349627
92,-1.1681375731200916
93,-1.1840507808245975
94,-1.197779372608385
95,-1.2085837957476462
96,-1.2214318642501145
97,-1.2329750161364812
98,-1.2417931115227256
99,-1.2485566020407357
100,-1.2545943131378885
101,-1.2645674036170718
102,-1.2641316726654361
103,-1.2683118412541727
104,-1.2717705166202695
105,-1.276237463001772
106,-1.2744178266289354
107,-1.2751032717581952
108,-1.2763494071340018
109,-1.279225606814847
110,-1.2802445147136137
111,-1.2765319011162393
112,-1.2787522022992581
113,-1.2861483099164226
114,-1.2853329882005031
115,-1.2798960813925042
116,-1.289514024367384
117,-1.292652933493137
118,-1.2936642005880936
119,-1.29455624958783
120,-1.2968200202711495
121,-1.3014579057876052
122,-1.3019807139859467
123,-1.3046534354021961
124,-1.3028037443745868
125,-1.3015473081047753
126,-1.3017932878766638
127,-1.2994846295608622
128,-1.2973840591493737
129,-1.2915689567868176
130,-1.2824471123924022
131,-1.2777032082375606
132,-1.2763440093367844
133,-1.2649921108107245
134,-1.2503115371280673
135,-1.246779547922621
136,-1.244156153423454
137,-1.2253406745649633
138,-1.220470137979783
139,-1.2185382043686481
140,-1.2050927734742745
141,-1.204286788426879
142,-1.198152235545463
143,-1.1976766631491529
144,-1.195783914378192
145,-1.192542644685156
146,-1.2016194158889704
147,-1.2015079939984796
148,-1.2042158019821356
149,-1.2140708150585557
150,-1.2188111096674588
151,-1.2268631269216668
152,-1.2345340230213844
153,-1.2427969254419367
154,-1.2541293094833703
155,-1.2572476947612858
156,-1.2661634587142216
157,-1.2704631802761517
158,-1.2793373951143114
159,-1.280613762578191
160,-1.2769222118625065
161,-1.2832990996068863
162,-1.2837165084131523
163,-1.2682955884352276
164,-1.2710180174789332
165,-1.2613462506943534
166,-1.2519923639568624
167,-1.2363785925129316
168,-1.2263395214122004
169,-1.2132345880621067
170,-1.1929587881286001
171,-1.1759049945967832
172,-1.161601703138165
173,-1.1392144811535376
174,-1.120934678911651
175,-1.0992898855974667
176,-1.0820457198340458
177,-1.0592916055445412
178,-1.03866303036361
179,-1.0205332006904424
180,-0.9989749076650931
181,-0.9802677830825511
182,-0.9578848993226781
183,-0.9422913194205073
184,-0.9220417278775583
185,-0.9029167790079577
186,-0.8852547633316101
187,-0.86700497088622
188,-0.8468355012327025
189,-0.835204472752777
190,-0.8110120973189896
191,-0.7960034644150211
192,-0.7785935204617669
193,-0.7612690755254745
194,-0.7434721830599106
195,-0.7207815268461835
196,-0.7087397759487528
197,-0.691226272662169
198,-0.6649967956604617
199,-0.6521610422229762
200,-0.6304927871783589
201,-0.6129222593342073
202,-0.5914919801480776
203,-0.5727022674092438
204,-0.552419720224452
205,-0.5311855452503915
206,-0.5135994600275071
207,-0.4928836731662492
208,-0.47088554023856777
209,-0.45341941425215115
210,-0.4350902542803572
211,-0.4123987196884452
212,-0.39707844390258284
213,-0.3778166528360206
214,-0.3592758487646672
215,-0.34311899713998933
216,-0.32513242993955516
217,-0.3094727829104743
218,-0.296245572191262
219,-0.276142928471145
220,-0.2622715885219258
221,-0.24971573042934425
222,-0.2353470684862355
223,-0.21796734940955775
224,-0.20283998186389252
225,-0.1913363286318232
226,-0.1740945242909297
227,-0.15930958521138494
228,-0.1404087775230754
229,-0.12942177613449987
230,-0.10890204312061967
231,-0.08948557694656335
232,-0.07183967550003685
233,-0.055977042261738386
234,-0.034700227577802
235,-0.010346171153637625
236,0.008693815224819077
237,0.029193216186952562
238,0.04864910001406707
239,0.07565546696945488
240,0.0967385582288339
241,0.11925378269121699
242,0.13676680289017054
243,0.16194035478687815
244,0.1851405278218234
245,0.20361414066800887
246,0.21956293760673629
247,0.24168071249396333
248,0.2615821155354076
249,0.2771965413897146
250,0.2884975177317394
251,0.30772300517576967
252,0.32005478815965127
253,0.3317454508761952
254,0.3414330998792532
