Timestamps,Signal
1,-0.15779308360046737
2,-0.15581829510611342
3,-0.15941399201663464
4,-0.1671622874461139
5,-0.1664072671918938
6,-0.17199266738647426
7,-0.17987979269122834
8,-0.17964096990666284
9,-0.18922309611266502
10,-0.18949930571866141
11,-0.19580759899763203
12,-0.19996685320403218
13,-0.204662680268678
14,-0.20245997096240953
15,-0.2097424272756839
16,-0.21077819661600022
17,-0.20948073932038272
18,-0.21052614909987016
19,-0.2149711405223767
20,-0.20912053336130448
21,-0.2102380070886981
22,-0.21172668322739094
23,-0.2076949717412914
24,-0.21038431251639952
25,-0.20666040363297933
26,-0.20865399946631485
27,-0.20760261817119266
28,-0.2069846266272376
29,-0.21029028130152083
30,-0.2120863924849573
31,-0.21029860833014274
32,-0.21414952789163558
33,-0.21773908291170774
34,-0.2201776344004281
35,-0.2208660232969456
36,-0.22621691886753734
37,-0.22531909145978374
38,-0.23038231312047067
39,-0.2331987899422824
40,-0.22655379540230527
41,-0.23240733638977662
42,-0.2326885550588122
43,-0.22398793317890014
44,-0.2250579965300063
45,-0.21983863946686
46,-0.2116617742981255
47,-0.20535629931217445
48,-0.1972193726245446
49,-0.18740336505715316
50,-0.17718284670362328
51,-0.16549802420257526
52,-0.15078309500129594
53,-0.14311793993334476
54,-0.12828011960413963
55,-0.11478631132585213
56,-0.1033597338154984
57,-0.09185915012292298
58,-0.07920596792902726
59,-0.0712221165693357
60,-0.06136102979371016
61,-0.05275691291091204
62,-0.044884128300682134
63,-0.04372296959423489
64,-0.03676378919567604
65,-0.033249421742723745
66,-0.03565698002898185
67,-0.034994281757341025
68,-0.03270290986177665
69,-0.038721141926244595
70,-0.0409075920407653
71,-0.04353043317745188
72,-0.04955720101667321
73,-0.05216197439394832
74,-0.055100277389583494
75,-0.060757619086097905
76,-0.06725995415977104
77,-0.06538630963179175
78,-0.06743676754824857
79,-0.07429547407849252
80,-0.07022437075915927
81,-0.07247961638882132
82,-0.07045657365853411
83,-0.06858876245661855
84,-0.06813756648498734
85,-0.06320306977431499
86,-0.061348959284554055
87,-0.057184668211850365
88,-0.05332767290078768
89,-0.051853892197044796
90,-0.04444507390858654
91,-0.047618740263943346
92,-0.04370770708922939
93,-0.04057609328627054
94,-0.04171312691451308
95,-0.04355655628955417
96,-0.04707458775295654
97,-0.04918114689318494
98,-0.04934994349527264
99,-0.059381355747310335
100,-0.06614989043648177
101,-0.07292562364932316
102,-0.07713908051152132
103,-0.08740897491663946
104,-0.09784008269943753
105,-0.10634396478384767
106,-0.11304034964621015
107,-0.1259188810214757
108,-0.12810373251754073
109,-0.14131034259349629
110,-0.1481224058437175
111,-0.15247610197922606
112,-0.1582391609317067
113,-0.16492761227656272
114,-0.1709551946606696
115,-0.16596229089696246
116,-0.1775525471761903
117,-0.175978375805734
118,-0.17503332101040048
119,-0.1759463999593041
120,-0.17721867296487248
121,-0.17920612036988215
122,-0.1719077851261122
123,-0.17559796462016247
124,-0.17600732369332966
125,-0.16942748775326644
126,-0.1765903824701257
127,-0.172809283102029
128,-0.16932274030714073
129,-0.1758375064427736
130,-0.17481667672744242
131,-0.1766905664727665
132,-0.1769522370833086
133,-0.18021677801308778
134,-0.18499333085755057
135,-0.1864523576233304
136,-0.18867943794242847
137,-0.19453730509304046
138,-0.19933518646466203
139,-0.2021747950949735
140,-0.2054091677471474
141,-0.2094490359029335
142,-0.2185043085340096
143,-0.21672443414074619
144,-0.2257754205519173
145,-0.2258888420199865
146,-0.22916039139838562
