%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
54.0, -133608.75947579855, -131494.9326509157, -130730.12301088846, -131597.6612684323, -124782.7484944759, -131085.56045121676, -107838.15924384109, -163114.17974402665, -133742.40055589683, -131707.36363021896, -131869.6372949645, -132505.70088692915, -133153.2756272883, -76174.40982751964, -133035.12430609754, -129282.60168821833, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070310972E9, 0.0, 2024-04-26 12:01:47.031
56.0, -133507.4613699271, -131399.9600887251, -130629.94249223979, -131496.1396451163, -124682.36681012713, -130983.94942092293, -107823.87647913415, -163101.50630492048, -133664.9964648481, -131629.31133858103, -131791.83087251557, -132427.38037435774, -133075.73742577285, -76163.41276924763, -132958.21195342683, -129206.27048090345, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070311184E9, 0.0, 2024-04-26 12:01:47.031
58.0, -133496.08433199936, -131384.87266121779, -130614.36332635443, -131483.98029613262, -124669.44750183196, -130972.52767950627, -107823.92118262306, -163101.1486770092, -133600.28816465, -131564.46892791617, -131726.42966823932, -132362.2920945039, -133011.05147731918, -76158.49538546747, -132893.07897008408, -129140.82457313832, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070311315E9, 0.0, 2024-04-26 12:01:47.031
60.0, -133548.49917274705, -131409.30311790743, -130663.0454257781, -131536.17161943574, -124719.69422336749, -131024.83076153169, -107812.7006069065, -163091.64918561568, -133625.8362085624, -131589.0111433281, -131751.01658714016, -132387.37075178276, -133036.7559834428, -76152.19219353107, -132915.4754180283, -129162.70693096006, 0.096, 0.878, 0.47000000000000003, 192.0, 1.5, 0.0, 13.5, 56.0, 7.0, 88.0, 0.0, 0.0, 0.0, 1.714150907031144E9, 0.0, 2024-04-26 12:01:47.031
62.0, -133587.01122844353, -131462.70143541115, -130706.13958908792, -131574.81778559898, -124760.26263955387, -131063.67809339502, -107822.4012640001, -163101.68511887614, -133689.31516281547, -131653.09359468147, -131815.45666640482, -132451.52025836948, -133100.1678824625, -76157.1766325446, -132979.6472763595, -129227.57169336936, 0.096, 0.878, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031156E9, 0.0, 2024-04-26 12:01:47.031
64.0, -133562.93839966517, -131434.761754842, -130682.80436787658, -131551.25904694307, -124736.86036310917, -131039.40409891655, -107812.18651678402, -163093.30321470537, -133686.92352615876, -131649.74083301317, -131812.77445707016, -132448.65923507922, -133097.5080248723, -76155.83552787728, -132977.3003431917, -129225.49298113502, 0.096, 0.878, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070311687E9, 0.0, 2024-04-26 12:01:47.031
66.0, -133535.55751270743, -131424.25643494804, -130656.20579197476, -131523.60993905188, -124708.69716509548, -131012.40319161455, -107813.43821447351, -163094.80078158388, -133657.06159556648, -131619.27540532057, -131782.17491891087, -132417.67971726414, -133067.35552160212, -76148.79472837386, -132948.84657250007, -129196.48041683203, 0.096, 0.878, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070311809E9, 0.0, 2024-04-26 12:01:47.031
68.0, -133606.41254263074, -131458.70047315364, -130718.63421423844, -131592.6097741854, -124774.947735661, -131082.47591048194, -107807.26913300385, -163089.90574954817, -133669.1538893168, -131631.47945779318, -131794.04369521662, -132430.59902555932, -133079.42546360797, -76148.3253417403, -132957.4743458598, -129205.80109426989, 0.096, 0.878, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070311928E9, 0.0, 2024-04-26 12:01:47.031
70.0, -133684.24131682413, -131553.22600045515, -130805.26957574721, -131672.60666759094, -124856.93393432307, -131161.8469550427, -107821.88717387762, -163105.06023228887, -133782.65604766083, -131745.58511323752, -131908.3281646166, -132544.99525368158, -133192.94997369646, -76153.60035343174, -133070.75298675933, -129318.275072369, 0.093, 0.877, 0.47000000000000003, 192.0, 1.0, 104.0, 13.5, 48.0, 7.0, 88.0, 0.0, 0.0, 0.0, 1.714150907031205E9, 0.0, 2024-04-26 12:01:47.031
72.0, -133683.86133716838, -131544.12884046184, -130801.1792065119, -131672.07022572402, -124856.33043722279, -131161.3552166647, -107819.16026105407, -163103.4509066881, -133782.09725404947, -131745.0486713706, -131908.12699891653, -132543.81061122546, -133192.27942136282, -76160.99878084645, -133071.98233270436, -129320.1749706477, 0.093, 0.877, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031217E9, 0.0, 2024-04-26 12:01:47.031
