%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -164654.8184340976, -162748.34874252664, -161639.92573498795, -162472.95289909278, -154219.1018723371, -161778.21597793294, -165206.5488942324, -185870.53547746368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712250917E9, 0.0, 2024-04-26 12:06:11.225
212.0, -164686.33439377957, -162788.1348476571, -161675.28619471626, -162506.10053612, -154251.04251516375, -161811.00598704888, -165208.31468204435, -185879.0738438456, -164539.8857641084, -162459.56420416405, -163012.70282419954, -163177.23401513507, -164187.33169881484, -117837.63680906735, -163785.40263001953, -160510.64854987248, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712251556E9, 0.0, 2024-04-26 12:06:11.225
214.0, -164716.95628368334, -162797.94726347295, -161702.421212485, -162536.45420509033, -154282.04438472324, -161841.449062997, -165195.5518359604, -185873.88823913198, -164553.20740380377, -162472.46116071477, -163025.91270517264, -163190.3768408748, -164200.83215246585, -117839.3131899015, -163797.94195865895, -160523.41139595644, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712252147E9, 0.0, 2024-04-26 12:06:11.225
216.0, -164476.74208602216, -162626.15175558947, -161480.69190748833, -162299.03397548606, -154048.98274528777, -161603.82766769265, -165187.46050446757, -185872.18950655338, -164465.45445507223, -162385.35641257244, -162939.18793668604, -163100.27695897545, -164112.9897967565, -117825.58921880594, -163718.72737630934, -160442.29691532816, 0.062, 0.47800000000000004, 0.128, 192.0, 1.5, 112.0, 14.5, 112.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.714151171225239E9, 0.0, 2024-04-26 12:06:11.225
218.0, -164682.73576292227, -162739.02806508876, -161654.78964505074, -162501.3619662955, -154241.6547824925, -161807.5861701472, -165180.6879258976, -185871.80952689762, -164405.68589039874, -162325.3196269655, -162878.27943304533, -163042.98943793649, -164053.69061871656, -117821.54355305953, -163647.60412545255, -160374.4593709063, 0.062, 0.47800000000000004, 0.128, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712252572E9, 0.0, 2024-04-26 12:06:11.225
220.0, -164730.85906873454, -162829.4855748994, -161726.65050347455, -162554.84969077705, -154300.26105645433, -161859.46456902797, -165186.0299928224, -185880.05732060163, -164615.59112257854, -162535.9624667123, -163088.98932802552, -163251.75473114906, -164263.99818229655, -117830.97598921967, -163860.59389836717, -160584.8563414641, 0.062, 0.47800000000000004, 0.128, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712252755E9, 0.0, 2024-04-26 12:06:11.225
222.0, -164567.87014816646, -162689.09426797563, -161569.02600157572, -162393.29128185406, -154143.0388859557, -161697.0791455602, -165172.9765740605, -185875.18464031038, -164519.7915458431, -162440.40875916588, -162993.54737920134, -163154.4128840462, -164167.72921892753, -117835.08871019944, -163770.5610717012, -160494.3317764201, 0.062, 0.47800000000000004, 0.128, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712252932E9, 0.0, 2024-04-26 12:06:11.225
224.0, -164327.3877295718, -162486.43100099935, -161333.84094641698, -162154.1723196712, -153904.34460691747, -161457.84842465504, -165150.46836739403, -185864.88048611648, -164303.65017696028, -162224.1779833052, -162777.4730655519, -162937.1092244517, -163951.1408151556, -117806.053794152, -163557.9512784423, -160281.18554129428, 0.062, 0.47800000000000004, 0.128, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712253113E9, 0.0, 2024-04-26 12:06:11.225
226.0, -164417.28644577105, -162512.38137631197, -161405.4559356518, -162241.27706781353, -153987.91777943587, -161545.131986753, -165136.9232102541, -185862.3770907375, -164230.58232433588, -162151.020723703, -162703.48879140482, -162866.16478755054, -163878.9893840539, -117797.73894521463, -163476.05448675808, -160201.45686882222, 0.092, 0.7170000000000001, 0.192, 192.0, 1.5, 104.0, 14.5, 112.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712253282E9, 0.0, 2024-04-26 12:06:11.225
228.0, -164296.6317292013, -162427.1318229594, -161295.46300118722, -162122.1646216112, -153869.2300163782, -161426.24305799522, -165120.65114029063, -185860.0078058252, -164200.56393153238, -162121.04703438844, -162673.895081746, -162833.9782755349, -163848.36749415012, -117784.21613981917, -163453.14394869137, -160175.68530746523, 0.092, 0.7170000000000001, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712253451E9, 0.0, 2024-04-26 12:06:11.225
230.0, -164336.66370352075, -162433.36795966246, -161325.3249317795, -162160.25199416306, -153907.60796160795, -161464.97863113627, -165095.0136894004, -185853.03406155517, -164178.32394579935, -162099.0082143555, -162651.3868750795, -162813.14644970256, -163826.9768747064, -117786.6524799648, -163426.321855345, -160150.18196704175, 0.092, 0.7170000000000001, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712253616E9, 0.0, 2024-04-26 12:06:11.225
232.0, -164392.36425070337, -162492.68948944684, -161385.69699355328, -162217.80773613547, -153964.87313090244, -161521.9755794973, -165079.50157874843, -185852.5199714327, -164234.58328659338, -162154.8205202604, -162707.0427187732, -162869.0481625853, -163882.90093933357, -117775.67777343724, -163480.65894611584, -160204.09437466794, 0.092, 0.7170000000000001, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712253788E9, 0.0, 2024-04-26 12:06:11.225
234.0, -164547.6418194344, -162601.69894715535, -161519.22631492928, -162367.6314792194, -154109.1759931059, -161673.92273830448, -165073.0642763453, -185855.7162708898, -164276.2692900025, -162196.8865033253, -162748.95223962693, -162911.1588491391, -163924.89986716508, -117785.62429971986, -163523.08255709204, -160246.74150308868, 0.092, 0.7170000000000001, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712253952E9, 0.0, 2024-04-26 12:06:11.225
236.0, -164498.95972001072, -162625.8388311671, -161514.66655906042, -162326.83954558845, -154080.7222224143, -161629.5992290496, -165067.208119298, -185855.2692360007, -164503.29595843508, -162422.8849915129, -162975.44246619256, -163137.73848268253, -164151.3006867529, -117705.31448189194, -163747.56112665668, -160470.5271685752, 0.11, 0.8365, 0.226, 192.0, 2.0, 0.0, 14.5, 112.0, 4.0, 16.0, 0.0, 0.0, 0.0, 1.7141511712254124E9, 0.0, 2024-04-26 12:06:11.225
238.0, -164298.35281352437, -162419.9345612448, -161286.94698654974, -162118.90126692073, -153866.4136965768, -161424.8125463501, -165050.1090347897, -185850.17303826488, -164169.0479718504, -162088.8158188839, -162641.79797670819, -162801.70235654144, -163817.09740365713, -117771.67681117974, -163423.9749221772, -160147.43270247374, 0.11, 0.8365, 0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712254307E9, 0.0, 2024-04-26 12:06:11.225
240.0, -164393.88416932634, -162498.2550738162, -161390.72613605575, -162218.1877157912, -153964.91783439135, -161521.8191172861, -165034.57457239326, -185848.78723010866, -164269.87669108828, -162189.0857445104, -162741.50910872332, -162905.1015263917, -163918.32845429523, -117770.17924430124, -163512.68899592033, -160237.28671518408, 0.11, 0.8365, 0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714151171225448E9, 0.0, 2024-04-26 12:06:11.225
242.0, -164306.3770897838, -162420.15807868936, -161298.39107971085, -162127.37257806928, -153875.8237809925, -161431.92040108686, -165010.43468838153, -185845.05448878463, -164194.70777448508, -162114.7214907076, -162667.9942212098, -162829.9773132774, -163842.39957838054, -117769.75456115659, -163445.63376255438, -160168.9574323842, 0.11, 0.8365, 0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712254713E9, 0.0, 2024-04-26 12:06:11.225
